LocationID,SessionID,GroupID,RecordID,Language,Lockdown,start_time,end_time,latitude,longitude,Traffic,Other,Human,Natural,ISOPleasan,ISOEventfu,pleasant,chaotic,vibrant,uneventful,calm,annoying,eventful,monotonous,Overall,Appropriat,loud,sss04,sss05,who01,who02,who03,who04,who05,WHO_Sum,Age,Gender,occ00___Em,occ00___Un,occ00___Re,occ00___St,occ00___Ot,occ00___Ra,occ00_othe,Occupation,edu00,eth00,eth00_othe,misc00,misc03,misc03_oth,misc04,misc01,use00,uni00,res00___1,res00___2,res00___3,res00___4,res00___5,res02,paper,RecordingL,Loudness_N,N10_N90(so,Sharpness_,Rough_HM_R,Rough_HM_A,"FS_Avg,ari","I_HM_Avg,a",Ton_HM_Avg,LZeq_L(dB(,LAeq_L(A)(,LA10_LA90(,LCeq_LAeq(,LC10_LC90(,RA_2D_cp(c,PA(Zwicker,fid,NoiseClass,NoiseCla_1,OBJECTID,ID,A_pred,A_prob,B_pred,B_prob,PARKSDISTAN,fountainsvi,roadnoiseco,treesvisibi,vi20mbigger,DISTANCE,SVF,VISIBLE
CamdenTown,CamdenTown1,CT101,525,English,0,2-5-2019 11:40,2-5-2019 11:43,51.5391240000,-0.1426240000,4,3,3,2,-0.2197000000,0.4268000000,2,4,3,2,1,2,4,3,2,3,4,1,2,1,1,3,0,3,32,23,Male,1,0,0,0,0,0,,Employed,2,1,,,,,,,1,3,1,1,0,0,0,,0,31.5700000000,31.1000000000,11.6000000000,2.1400000000,0.0374000000,0.0374000000,0.0170000000,0.3580000000,0.3090000000,79.7200000000,70.0700000000,7.7800000000,7.8100000000,8.1100000000,14.3000000000,36.0191806700,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT101,561,English,0,2-5-2019 11:40,2-5-2019 11:43,51.5391240000,-0.1426240000,4,3,4,2,-0.4697000000,0.1768000000,3,4,2,1,1,4,2,4,3,2,4,1,3,4,4,3,4,4,76,24,Female,1,0,0,0,0,0,,Employed,2,1,,,2,,,,1,3,1,1,0,0,0,,1,31.5700000000,31.1000000000,11.6000000000,2.1400000000,0.0374000000,0.0374000000,0.0170000000,0.3580000000,0.3090000000,79.7200000000,70.0700000000,7.7800000000,7.8100000000,8.1100000000,14.3000000000,36.0191806700,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT101,526,English,0,2-5-2019 11:41,2-5-2019 11:44,51.5391240000,-0.1426240000,3,1,2,1,0.0000000000,0.2500000000,4,3,3,2,2,4,3,2,3,4,2,1,3,3,3,4,4,3,68,22,Male,1,0,0,0,0,0,,Employed,2,1,,,,,,,1,3,1,1,0,0,0,,0,31.5700000000,31.1000000000,11.6000000000,2.1400000000,0.0374000000,0.0374000000,0.0170000000,0.3580000000,0.3090000000,79.7200000000,70.0700000000,7.7800000000,7.8100000000,8.1100000000,14.3000000000,36.0191806700,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT102,560,English,0,2-5-2019 11:50,2-5-2019 11:53,51.5391240000,-0.1426240000,3,2,4,1,0.1036000000,-0.7500000000,4,2,2,5,5,3,2,5,2,4,3,1,2,4,3,3,4,5,76,28,Male,1,0,0,0,0,0,,Employed,5,1,,,2,,,,1,1,1,1,0,0,0,,1,32.4700000000,34.4000000000,12.3000000000,2.1800000000,0.0446000000,0.0446000000,0.0179000000,0.3620000000,0.2680000000,80.2700000000,71.2600000000,8.3800000000,6.2500000000,7.8200000000,14.7000000000,40.5232679800,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT103,527,English,0,2-5-2019 11:49,2-5-2019 11:54,51.5391240000,-0.1426240000,4,2,4,1,0.2500000000,0.7500000000,3,4,5,1,2,2,4,1,3,4,3,3,3,2,2,1,0,3,32,56,Male,1,0,0,0,0,0,,Employed,,1,,,,,,,3,1,1,1,0,0,0,,0,35.1600000000,24.7000000000,4.8000000000,2.0000000000,0.0369000000,0.0369000000,0.0088900000,0.3700000000,0.1930000000,76.7900000000,66.7100000000,4.2300000000,7.6100000000,3.9900000000,13.4000000000,27.1086347300,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT104,528,English,0,2-5-2019 11:52,2-5-2019 12:03,51.5391240000,-0.1426240000,4,3,2,1,0.0732000000,0.6768000000,2,4,5,1,2,2,4,2,2,3,4,2,3,4,3,2,1,4,56,18,Male,0,1,0,0,0,0,,Unemployed,1,1,,,,,,,1,1,1,1,0,0,0,There was alarm whistle passing.,0,31.9600000000,38.6000000000,12.1000000000,2.3700000000,0.0413000000,0.0413000000,0.0146000000,0.3930000000,0.2100000000,80.1300000000,72.4700000000,6.9700000000,6.3200000000,3.7900000000,15.1000000000,48.7088246000,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT105,555,English,0,2-5-2019 11:56,2-5-2019 12:09,51.5391240000,-0.1426240000,4,2,4,1,0.3661000000,-0.5303000000,3,1,3,5,5,3,2,2,3,2,4,3,3,1,2,2,2,1,32,27,Female,0,1,0,0,0,0,,Unemployed,5,1,,,1,,,,2,2,1,1,0,0,0,,1,,,,,,,,,,,,,,,,,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT105,529,English,0,2-5-2019 11:56,2-5-2019 12:09,51.5391240000,-0.1426240000,4,3,4,2,-0.0429000000,0.5000000000,4,5,4,2,2,3,4,3,4,3,3,2,3,4,4,4,2,4,72,24,Female,0,1,0,0,0,0,,Unemployed,5,2,,,,,,,1,2,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT106,530,English,0,2-5-2019 12:07,2-5-2019 12:12,51.5391240000,-0.1426240000,4,2,2,1,-0.2071000000,0.0858000000,2,4,4,4,2,4,2,2,3,2,4,4,3,4,3,4,4,4,76,30,Male,0,0,0,0,0,1,,RatherNotSay,1,1,,,,,,,4,1,1,0,0,0,0,,0,,,,,,,,,,,,,,,,,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT107,559,English,0,2-5-2019 12:20,2-5-2019 12:25,51.5391240000,-0.1426240000,4,3,3,2,0.0732000000,0.3661000000,4,4,4,3,2,4,3,1,4,4,3,4,4,3,4,2,2,3,56,64,Male,0,0,1,0,0,0,,Retired,4,1,,,1,,,,1,1,1,1,0,0,0,,1,31.3200000000,29.4000000000,11.3000000000,2.0500000000,0.0379000000,0.0379000000,0.0247000000,0.4260000000,0.2930000000,78.5200000000,68.3200000000,8.5500000000,8.0000000000,5.6000000000,14.8000000000,32.9593759300,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
